,Na,K,Mg,Al,Hg,Pb,F,Cl,SO4,NO3,As,Hardness,Color,COD,BOD,pH,Category
Spring_71,109.98,86.66,50.4,20.69,13.12,12.11,83.41,182.08,72.28,56.5,18.81,15.85,442.82,41.24,15.18,6.31,2
Spring_72,109.09,77.97,36.33,26.31,12.62,12.57,100.03,162.74,59.49,52.94,11.12,9.58,126.34,35.41,17.52,5.42,3
Spring_73,102.37,81.51,39.08,26.5,19.77,12.88,115.6,157.38,74.29,67.93,16.24,13.98,394.04,21.04,15.28,5.17,3
Spring_74,101.63,97.88,40.3,26.48,10.13,12.16,85.99,147.92,62.0,72.44,17.89,11.38,160.48,59.01,16.59,7.12,4
Spring_75,110.27,87.73,39.9,29.58,14.34,16.69,91.03,127.2,73.5,55.1,12.82,10.3,179.34,26.44,17.87,7.67,5
Spring_76,120.64,94.79,60.93,25.51,13.68,18.35,105.21,147.61,40.5,50.37,19.3,23.2,484.74,1.21,16.91,7.0,2
Spring_77,122.68,71.55,43.11,29.74,19.21,13.81,81.94,199.23,61.58,71.55,13.67,23.44,133.02,25.16,6.32,8.09,4
Spring_78,101.27,97.65,29.79,21.02,17.49,18.8,86.55,130.86,64.94,72.11,11.03,17.59,455.56,53.86,16.93,7.9,4
Spring_79,114.44,99.61,66.84,23.41,17.22,19.62,75.5,160.37,60.38,57.18,14.87,12.15,361.33,47.78,15.15,5.69,4
Spring_80,120.71,84.02,53.42,25.27,15.14,10.36,101.32,158.14,47.98,60.53,10.54,20.56,257.36,70.74,5.89,5.18,3
Spring_81,98.05,89.49,37.05,23.56,17.16,19.26,111.84,155.59,53.79,57.74,10.49,20.82,370.51,14.65,13.03,8.05,4
Spring_82,118.67,91.01,46.54,22.42,14.09,18.9,101.95,199.1,68.57,55.67,10.31,12.68,436.49,47.1,15.74,8.47,2
Spring_83,91.3,95.46,25.93,28.89,14.14,11.61,108.46,159.02,51.82,61.46,17.6,22.21,386.53,35.65,15.72,6.21,1
Spring_84,123.1,90.83,32.01,29.89,15.59,18.67,114.65,133.79,72.78,58.29,10.01,17.44,391.25,9.93,2.22,6.6,3
Spring_85,107.55,94.11,28.65,24.42,16.42,17.38,98.73,190.45,61.69,78.67,10.7,19.12,358.68,42.2,13.57,6.11,2
Spring_86,108.17,72.1,50.94,22.46,18.73,15.28,118.58,127.0,75.6,64.38,19.7,19.89,160.27,14.38,6.16,6.9,2
Spring_87,91.19,98.37,38.15,24.59,16.68,15.14,89.02,172.63,41.78,58.3,13.39,20.06,403.64,72.48,6.07,6.21,4
Spring_88,93.8,87.51,36.0,20.8,14.96,15.25,108.34,186.3,54.74,54.66,18.33,10.85,373.44,3.0,3.25,8.97,5
Spring_89,81.54,88.53,47.63,23.96,12.46,14.45,118.9,171.23,55.0,76.4,14.82,11.13,283.38,44.88,15.82,5.14,1
Spring_90,89.53,77.18,51.0,29.59,15.65,11.17,112.15,199.13,54.27,78.93,17.13,16.0,483.29,13.73,3.37,7.08,1
Spring_91,87.84,80.23,56.56,26.66,10.48,15.78,109.92,150.18,45.63,58.26,13.11,9.63,487.9,16.79,19.14,8.27,4
Spring_92,122.56,96.67,47.38,27.04,16.37,17.27,115.62,139.21,71.44,67.3,18.71,15.08,290.91,36.22,11.13,7.21,3
Spring_93,102.49,84.24,30.47,28.73,14.01,18.08,103.3,143.01,79.88,55.2,19.4,8.03,323.33,27.92,10.55,6.06,4
Spring_94,103.48,80.53,36.17,27.23,16.07,18.78,110.71,177.65,44.17,54.73,12.18,19.76,371.01,67.4,3.19,8.29,1
Spring_95,95.48,94.88,47.27,25.4,10.25,19.29,75.39,184.92,73.38,50.62,13.89,8.82,339.71,50.98,9.39,5.51,2
Spring_96,102.11,85.52,28.96,21.3,19.33,11.81,80.77,157.8,79.73,67.65,10.35,20.5,236.16,37.36,14.11,6.6,4
Spring_97,107.42,93.18,42.41,23.57,17.84,13.52,86.12,154.8,46.08,77.3,11.9,18.36,104.66,39.49,16.26,7.91,1
Spring_98,79.06,72.57,47.55,24.63,15.7,11.39,122.17,125.93,40.97,62.92,15.27,16.7,413.68,7.18,19.15,7.08,1
Spring_99,123.81,88.26,55.86,26.25,19.46,12.94,122.43,162.9,56.64,72.68,15.14,8.05,296.43,64.01,17.21,6.04,1
Spring_100,101.34,91.05,34.74,24.33,17.11,18.91,106.9,143.92,42.69,62.19,13.64,19.97,126.22,20.38,6.38,8.77,4
Spring_101,118.36,86.23,58.74,27.17,12.17,17.85,106.03,167.46,55.92,67.68,14.28,18.25,429.22,72.15,13.02,7.22,1
Spring_102,100.25,79.7,52.78,26.05,18.71,16.86,83.16,126.49,49.37,69.99,14.77,15.12,195.41,18.94,17.37,6.25,5
Spring_103,110.62,79.29,41.78,29.77,19.77,18.62,87.51,147.02,67.92,69.41,15.89,22.82,248.72,73.85,2.36,7.36,4
Spring_104,91.7,89.73,41.39,24.99,13.32,19.4,112.9,183.81,74.52,56.22,15.61,17.36,361.08,8.44,5.21,8.37,2
Spring_105,78.09,77.46,55.08,28.87,16.86,18.88,116.05,189.93,69.23,69.95,11.37,9.93,321.96,36.79,9.94,5.34,2
Spring_106,93.72,73.6,30.17,28.84,16.16,19.72,94.33,195.85,76.92,74.3,14.12,12.5,289.12,12.81,15.72,8.13,1
Spring_107,82.47,81.64,55.39,28.51,12.79,14.13,101.98,165.42,43.99,78.49,16.48,23.89,416.64,23.68,18.32,8.26,4
Spring_108,93.41,96.58,37.06,26.4,18.24,11.37,95.02,140.44,68.73,52.17,12.04,20.03,223.47,33.23,7.44,5.05,3
Spring_109,95.25,82.46,38.13,29.1,17.33,16.02,118.38,184.15,75.52,52.13,11.0,21.84,365.19,34.99,7.37,8.73,1
Spring_110,82.91,86.35,51.64,22.53,19.6,18.3,96.37,168.29,79.08,53.14,13.03,8.23,300.68,49.36,6.81,7.54,1
Spring_111,95.92,80.82,48.71,29.87,18.76,13.53,99.81,133.06,77.68,56.12,12.08,22.8,117.62,66.63,4.05,8.51,2
Spring_112,103.33,79.88,64.94,24.98,15.73,20.0,122.96,144.73,74.65,54.92,19.72,14.78,144.64,6.85,2.67,8.03,5
Spring_113,96.19,81.44,37.16,20.68,16.92,14.21,112.33,189.5,60.35,57.66,11.56,22.41,421.57,58.49,5.66,5.51,1
Spring_114,89.22,91.8,35.06,21.8,18.9,16.05,102.03,166.08,43.76,53.47,14.31,23.76,163.56,45.75,8.57,7.4,5
Spring_115,109.01,81.54,28.39,22.54,16.11,15.0,81.5,137.08,47.59,54.11,19.65,20.16,374.79,29.47,9.74,8.1,5
Spring_116,107.6,81.79,61.23,29.13,10.99,13.19,94.95,193.32,72.41,56.71,13.29,19.04,379.14,53.7,6.16,7.53,3
Spring_117,119.01,98.6,59.59,28.58,12.74,17.22,122.7,141.64,48.78,68.82,18.73,14.45,119.32,23.8,8.89,8.42,2
Spring_118,83.96,86.69,45.43,29.82,13.37,18.57,88.96,160.02,49.03,66.21,11.41,9.18,154.82,65.11,18.79,5.06,2
Spring_119,113.72,71.43,36.67,26.5,11.36,12.98,75.11,199.14,58.57,56.9,12.39,23.08,238.16,71.19,8.4,7.59,5
Spring_120,119.11,79.21,60.54,25.98,17.45,17.43,87.17,159.58,65.86,66.32,10.46,14.97,359.81,50.01,2.51,8.06,3
Spring_121,101.32,76.42,28.35,28.05,11.02,16.19,104.83,161.01,67.69,51.13,13.92,14.39,258.46,48.92,2.74,5.99,3
Spring_122,123.82,73.26,47.37,26.89,10.45,11.02,82.79,132.86,70.06,50.93,14.44,18.21,410.08,24.25,15.22,8.65,5
Spring_123,78.09,92.54,51.41,22.36,19.89,16.91,88.03,186.8,49.98,71.76,15.77,20.82,219.6,14.7,3.35,5.31,5
Spring_124,79.52,84.99,25.16,25.89,14.68,19.24,109.27,128.42,41.7,64.54,17.51,9.27,227.7,20.93,16.3,8.54,2
Spring_125,95.87,96.0,59.84,25.14,16.61,13.88,82.89,135.68,70.96,58.9,11.08,12.97,232.17,39.8,6.93,5.04,1
Spring_126,78.77,75.22,67.54,24.5,16.3,13.14,114.47,153.92,71.69,60.57,16.82,17.04,486.12,63.14,14.32,7.1,5
Spring_127,95.22,95.65,64.1,26.7,10.79,17.63,93.76,172.85,50.71,59.08,18.19,23.18,177.5,33.09,6.67,8.01,2
Spring_128,92.16,87.34,47.77,23.42,14.55,13.51,107.61,181.29,69.56,74.72,16.47,19.77,184.71,37.82,10.52,6.64,5
Spring_129,77.68,72.08,37.02,27.94,16.46,11.93,81.6,197.21,57.19,64.39,15.5,14.52,218.82,49.44,18.42,7.61,5
Spring_130,108.4,73.78,29.57,21.92,15.76,16.49,100.6,151.56,56.71,70.26,12.39,22.19,133.48,37.61,19.05,7.2,4
Spring_131,103.91,81.3,63.31,21.93,19.97,15.05,105.54,136.32,58.12,69.66,15.61,14.03,326.5,55.14,14.33,5.37,4
Spring_132,110.8,81.38,60.28,23.86,19.24,11.3,108.15,127.97,68.58,73.67,19.59,11.59,421.45,32.11,17.52,7.78,4
Spring_133,110.77,76.27,40.83,21.54,17.35,12.84,112.9,179.69,46.9,78.83,13.13,11.56,417.43,64.61,7.35,5.17,5
Spring_134,87.25,75.0,63.56,24.11,12.5,12.55,118.51,191.97,77.24,54.01,17.11,16.24,377.75,52.01,4.34,7.17,1
Spring_135,106.01,98.44,32.66,27.73,17.83,10.54,118.1,160.89,47.08,60.34,16.75,23.38,387.09,10.63,3.18,8.57,1
Spring_136,75.63,80.0,56.8,26.33,14.59,12.24,108.03,129.51,59.69,50.76,12.33,22.88,406.23,31.91,8.93,8.39,4
Spring_137,90.18,80.23,59.49,26.58,10.32,17.02,99.78,158.82,61.39,67.13,18.14,21.69,119.77,14.89,17.94,5.03,4
Spring_138,108.87,80.82,29.93,29.19,16.07,18.08,106.35,164.76,65.65,50.22,14.29,17.96,275.91,53.59,9.46,8.57,1
Spring_139,97.31,79.27,58.97,28.07,15.43,11.09,124.66,150.07,75.92,54.59,10.02,10.04,182.72,73.76,8.73,8.22,4
Spring_140,119.1,88.51,65.21,26.77,14.45,10.7,103.57,192.28,55.41,58.7,10.52,23.18,340.91,31.37,7.52,5.49,1
Spring_141,90.92,72.17,63.74,24.45,11.81,11.47,87.6,128.13,73.32,56.64,11.52,14.64,482.23,1.72,4.6,8.38,1
Spring_142,94.83,78.89,28.92,24.85,10.71,10.1,92.49,134.22,60.87,54.12,17.45,23.36,444.94,34.31,4.15,7.26,4
Spring_143,113.18,88.5,65.48,22.74,18.75,13.96,79.62,151.92,73.55,55.02,10.71,9.91,394.95,0.04,16.92,7.12,5
Spring_144,109.45,84.05,54.29,24.5,15.11,12.12,109.77,148.75,45.8,53.7,15.35,14.97,346.97,6.67,12.52,5.78,4
Spring_145,82.85,97.8,42.97,21.48,15.39,17.03,108.79,181.06,70.78,62.47,15.79,13.79,437.18,11.79,10.03,8.81,5
Spring_146,98.89,83.46,37.47,21.7,15.84,16.66,94.34,164.65,62.85,52.25,18.88,13.21,194.49,70.77,18.3,5.18,1
Spring_147,106.69,72.45,51.1,24.74,18.27,16.37,90.96,152.78,47.71,68.38,15.92,14.46,215.47,26.9,16.72,8.6,4
Spring_148,94.02,81.75,69.72,25.51,14.44,11.25,84.29,151.69,78.7,69.76,13.89,11.39,324.89,6.22,11.03,8.04,4
Spring_149,120.72,80.79,69.16,23.58,12.64,13.56,106.56,154.65,50.8,67.38,18.83,10.42,297.36,72.04,18.88,8.75,4
Spring_150,86.74,90.35,60.88,28.64,11.49,12.93,99.69,163.05,50.21,59.72,19.17,20.77,279.39,5.58,8.0,5.16,5
Spring_151,113.68,81.94,65.12,21.5,15.08,18.01,79.99,146.23,45.73,68.64,15.53,12.56,329.6,6.99,10.68,7.18,5
Spring_152,114.99,82.22,47.24,21.22,15.5,16.71,99.84,125.15,61.79,60.19,19.73,8.02,347.7,15.84,2.84,5.33,2
Spring_153,113.56,95.17,25.89,24.96,12.59,16.87,116.86,177.02,74.76,61.72,14.66,16.09,381.24,32.14,8.7,8.88,1
Spring_154,104.39,85.94,39.27,28.34,10.07,11.91,91.69,189.02,47.09,53.19,18.97,8.08,174.63,19.52,5.42,6.38,5
Spring_155,121.13,82.14,55.57,25.57,12.1,17.85,81.94,167.44,76.8,55.01,19.74,22.54,205.6,59.33,18.34,6.29,1
Spring_156,88.84,82.41,68.77,27.19,14.7,15.75,106.5,154.11,47.89,63.38,13.36,16.54,497.31,22.37,3.02,5.21,3
Spring_157,98.32,85.01,30.72,22.49,15.05,17.61,107.96,153.76,50.2,57.65,15.9,18.22,166.25,59.49,13.11,5.28,5
Spring_158,117.19,71.26,58.42,27.07,16.1,18.0,97.19,128.12,77.36,50.86,12.84,13.96,357.8,56.36,2.18,7.71,5
Spring_159,83.74,79.71,36.23,27.62,16.66,12.69,109.01,133.34,74.92,59.72,15.13,19.36,313.77,15.97,10.43,6.92,2
Spring_160,117.85,89.81,64.38,27.61,18.27,11.34,124.94,129.16,72.14,68.78,13.75,17.86,391.15,33.27,3.92,5.48,5
Spring_161,112.32,99.49,45.84,26.0,14.14,19.29,119.09,135.17,79.87,78.7,15.04,23.2,254.76,31.25,4.86,7.12,1
Spring_162,80.96,73.48,58.3,28.66,10.31,17.43,100.12,132.38,77.11,53.27,15.05,9.01,403.82,48.52,16.12,5.85,2
Spring_163,77.28,85.02,48.04,24.88,10.87,16.43,112.24,193.59,75.14,58.73,11.56,13.42,364.27,18.68,13.54,8.33,5
Spring_164,105.99,87.21,35.95,29.92,12.72,13.11,80.73,154.73,56.59,70.38,18.24,20.72,408.79,22.23,15.12,8.07,1
Spring_165,122.23,95.6,57.24,23.49,15.5,10.56,87.54,191.62,61.02,76.53,16.55,19.1,108.55,30.64,7.48,7.17,3
Spring_166,105.2,72.42,25.96,21.63,12.23,16.34,90.61,151.3,77.3,57.73,17.69,14.4,305.64,61.35,13.87,5.24,2
Spring_167,105.31,80.05,34.86,22.46,15.85,14.49,75.87,192.26,77.53,78.5,18.1,22.26,409.48,55.05,4.4,8.87,1
Spring_168,97.74,85.56,64.15,22.26,13.1,11.83,86.7,129.18,45.37,57.67,16.71,20.12,226.02,15.65,3.94,7.41,2
Spring_169,118.0,97.5,37.32,21.3,10.92,17.19,89.67,183.01,75.35,72.61,19.23,23.2,251.27,44.43,7.09,8.83,1
Spring_170,106.2,98.05,33.99,22.26,17.69,14.15,101.57,133.54,75.54,77.7,17.14,19.16,319.59,72.1,5.8,6.9,2
Spring_171,92.94,82.32,66.85,28.04,13.16,17.15,94.65,194.55,56.35,51.47,19.01,16.03,258.77,32.44,12.44,7.41,4
Spring_172,119.57,83.18,54.8,28.61,16.58,12.14,85.23,195.03,55.93,62.88,17.55,12.1,318.98,20.48,12.87,6.9,2
Spring_173,114.21,79.54,66.17,29.41,15.41,16.73,118.33,142.48,70.06,66.81,16.74,19.01,169.36,34.41,12.33,6.78,2
Spring_174,75.71,70.91,59.27,24.09,16.99,14.81,118.99,181.33,68.49,53.15,16.92,20.84,456.05,24.04,3.51,8.28,1
Spring_175,101.33,92.03,32.18,24.98,19.03,15.24,92.76,185.55,71.68,63.88,14.22,10.68,241.78,6.16,6.01,7.55,1
Spring_176,111.35,96.84,63.78,23.03,10.9,10.98,75.57,172.8,64.33,62.95,14.74,21.21,227.06,56.82,11.95,8.37,4
Spring_177,82.63,92.29,59.75,26.06,16.61,14.68,99.88,156.11,76.98,71.51,18.39,18.75,375.62,60.75,11.68,5.69,2
Spring_178,104.63,88.68,41.58,22.96,17.44,12.93,104.12,153.43,71.93,60.73,14.79,23.31,350.54,29.21,6.5,8.14,2
Spring_179,114.94,95.63,40.23,29.09,11.69,14.38,114.1,149.78,65.23,54.87,15.04,23.45,422.19,8.71,13.51,5.52,5
Spring_180,81.4,91.14,63.64,27.32,13.4,12.1,118.9,169.65,41.23,68.07,11.18,18.36,400.3,24.32,6.95,7.34,1
Spring_181,121.94,83.4,31.63,24.42,15.21,17.27,108.34,143.13,44.77,52.2,15.18,15.06,460.27,57.14,3.4,8.67,3
Spring_182,86.6,84.41,48.22,20.08,15.2,19.3,114.87,178.7,48.59,67.34,15.75,16.16,250.96,51.25,14.74,7.97,2
Spring_183,124.23,70.2,32.12,25.12,10.45,11.03,119.36,146.47,76.32,70.97,19.77,14.88,160.8,44.77,3.68,7.77,2
Spring_184,119.23,74.83,68.21,22.56,10.65,16.73,76.11,140.21,64.9,72.98,10.56,13.56,419.31,57.0,2.37,7.05,1
Spring_185,106.93,75.58,33.45,22.76,10.51,10.71,88.41,144.33,42.48,55.54,13.79,11.41,300.64,43.3,16.57,7.38,5
Spring_186,114.05,93.24,66.15,22.11,12.13,18.5,114.39,131.6,51.6,63.59,10.85,16.89,497.93,5.43,8.35,7.76,4
Spring_187,81.83,77.1,63.03,20.54,15.46,11.91,83.9,161.66,68.75,51.3,16.03,9.13,142.23,62.96,11.76,7.91,4
Spring_188,99.79,75.45,36.06,23.8,12.87,13.76,81.01,155.66,79.44,64.7,16.15,13.55,291.33,42.53,10.5,8.63,1
Spring_189,124.42,71.89,45.01,25.86,15.29,11.69,76.92,186.4,76.09,75.67,15.08,16.73,481.4,8.42,16.73,6.5,4
Spring_190,89.25,93.59,45.82,24.7,14.59,11.89,93.95,150.3,55.4,65.63,14.44,17.93,316.93,59.5,4.76,8.4,4
Spring_191,85.49,90.82,25.41,26.65,16.3,19.28,114.05,154.45,77.91,62.06,15.59,20.86,298.1,72.46,7.71,5.25,4
Spring_192,99.34,92.54,27.92,20.8,13.28,11.53,86.34,132.05,54.97,75.05,11.64,8.61,450.09,25.07,9.65,8.21,4
