,Na,K,Mg,Al,Hg,Pb,F,Cl,SO4,NO3,As,Hardness,Color,COD,BOD,pH,Category
Spring_40,101.56,75.4,34.04,28.0,10.48,11.57,108.9,175.16,52.17,68.77,14.26,10.47,445.07,55.29,10.23,6.96,5
Spring_41,118.53,,46.89,28.82,18.53,16.85,93.37,162.78,69.79,77.87,14.5,20.49,395.47,17.53,12.51,,2
Spring_42,87.77,,68.44,28.31,12.92,17.94,106.37,153.65,78.28,69.94,10.37,12.46,100.56,28.21,7.3,8.86,3
Spring_43,113.41,91.64,69.81,24.93,13.46,11.52,101.46,,58.73,69.39,13.79,19.51,474.27,27.43,15.19,,1
Spring_44,98.28,,48.49,26.68,19.7,18.76,119.89,195.79,44.86,72.99,19.79,8.69,333.48,26.09,2.61,5.71,3
Spring_45,123.91,83.76,28.83,23.17,12.35,11.26,88.95,160.08,50.74,67.83,12.31,21.16,372.71,20.07,3.52,8.08,5
Spring_46,99.73,87.07,62.8,,19.3,12.61,101.61,,61.93,65.27,13.79,13.47,259.2,67.93,2.02,6.97,4
Spring_47,94.93,73.25,41.31,25.74,11.36,18.88,109.07,159.71,57.88,59.11,18.5,10.23,288.36,60.39,19.16,,four
Spring_48,96.27,98.64,26.78,22.01,19.96,18.04,114.57,176.86,46.51,62.8,14.15,10.4,306.45,72.73,19.4,5.89,3
Spring_49,85.63,,67.28,27.11,12.66,12.72,87.83,187.38,69.62,69.63,16.08,21.63,425.24,25.17,14.44,6.6,2
Spring_50,95.32,80.44,34.42,28.17,10.53,13.7,76.63,132.54,43.4,62.01,17.49,19.08,484.28,51.47,17.56,,3
Spring_51,124.26,92.25,66.35,20.78,16.48,12.8,92.87,141.56,56.06,67.37,19.74,14.33,494.51,57.48,10.74,,2
Spring_52,103.0,73.68,30.54,,18.89,19.2,101.01,132.64,79.3,66.69,18.68,14.95,471.97,60.05,8.39,7.0,4
Spring_53,102.24,95.1,43.62,23.71,10.99,11.12,113.08,135.11,73.81,61.89,12.2,23.18,204.62,11.12,12.7,7.68,1
Spring_54,92.8,97.43,32.14,25.76,10.8,14.47,117.59,185.86,48.63,76.71,16.66,17.0,402.59,61.72,8.3,5.32,3
Spring_55,75.08,,68.2,20.97,15.02,18.17,116.89,185.15,62.73,63.03,12.34,16.87,280.2,0.33,18.78,7.84,5
Spring_56,84.64,85.71,40.75,23.07,16.9,15.17,110.1,156.57,65.64,69.37,16.33,20.86,474.18,1.72,12.3,5.59,two
Spring_57,83.35,,65.46,,13.84,10.81,114.39,163.45,66.96,63.3,11.23,22.79,487.05,38.92,12.59,6.35,3
Spring_58,90.74,71.24,35.09,25.36,19.19,14.15,85.21,190.27,67.08,63.83,17.02,20.51,182.57,72.94,2.98,8.09,4
Spring_59,94.09,,58.42,,17.47,12.23,86.25,177.17,71.85,53.85,10.12,20.75,361.79,5.64,8.52,8.6,4
Spring_60,113.07,97.51,53.87,20.55,19.68,11.06,122.76,196.52,75.88,63.72,17.15,15.46,328.28,74.61,11.84,6.74,5
Spring_61,124.98,91.48,66.78,25.98,17.72,17.5,95.37,,75.59,64.59,16.48,22.52,255.2,47.64,18.27,7.53,4
Spring_62,88.87,91.99,50.51,27.46,18.62,11.39,119.24,164.74,68.16,61.59,14.75,20.05,481.23,71.6,3.64,5.68,1
Spring_63,89.35,75.51,58.57,29.59,10.65,17.46,81.06,149.75,51.21,72.47,10.74,22.12,104.11,14.09,13.74,6.0,1
Spring_64,100.65,84.31,39.14,23.93,16.27,18.7,88.79,171.13,43.62,71.89,12.55,21.13,108.97,6.33,5.09,5.66,3
Spring_65,115.61,75.25,59.95,23.28,17.95,18.35,117.74,178.83,49.39,53.54,19.35,15.11,472.45,48.69,18.92,,1
Spring_66,88.88,74.4,56.33,22.71,11.47,12.53,108.45,169.65,72.32,66.52,12.02,18.44,473.41,22.72,4.16,8.73,1
Spring_67,76.29,,33.69,27.36,18.78,14.8,87.06,180.02,42.31,61.36,19.07,9.13,452.52,39.9,12.63,5.34,2
Spring_68,91.96,84.59,29.44,27.34,15.92,16.48,103.2,195.38,68.37,68.69,10.87,22.37,123.03,4.64,7.29,8.56,4
Spring_69,116.85,85.31,43.24,,18.92,10.58,80.55,,50.72,70.26,16.01,14.97,318.21,16.84,10.0,6.28,1
Spring_70,121.91,,68.84,21.17,11.03,10.01,117.09,,45.0,79.0,16.12,19.51,164.5,11.14,13.54,8.64,5
Spring_71,118.74,78.56,46.66,29.9,19.08,12.73,119.49,197.25,79.56,65.57,10.6,19.99,153.88,48.35,15.41,5.12,3
Spring_72,88.04,95.42,62.06,23.4,12.49,19.23,102.85,160.98,58.6,57.85,14.3,14.17,294.37,69.39,3.58,6.8,5
Spring_73,116.17,,49.81,25.73,15.65,10.27,75.44,137.03,57.83,56.39,19.33,18.76,460.74,44.72,5.7,8.7,4
Spring_74,110.41,77.01,41.62,22.6,13.85,13.1,108.56,125.81,43.78,64.51,10.25,22.31,367.2,28.92,14.61,,5
Spring_75,94.94,70.79,36.86,21.4,18.4,19.61,88.86,,50.62,58.33,14.1,17.25,326.24,46.86,8.65,5.07,1
Spring_76,77.47,86.83,61.47,23.37,14.53,18.9,102.32,147.31,57.55,52.17,10.63,20.93,147.95,69.73,12.94,8.41,4
Spring_77,81.08,,38.46,29.06,12.22,18.77,85.38,165.51,72.06,65.03,19.31,19.57,404.18,62.2,11.13,7.36,2
Spring_78,124.98,79.47,34.3,,13.49,11.06,88.82,146.54,77.62,64.22,10.36,15.45,208.34,25.73,18.97,8.79,5
Spring_79,119.94,75.86,58.92,28.69,14.86,17.75,80.96,,41.99,62.7,18.62,9.14,328.7,44.94,10.7,7.65,3
Spring_80,96.08,81.84,60.88,,16.36,15.51,111.39,150.14,57.25,69.92,13.16,10.3,293.51,23.94,12.16,7.1,3
Spring_81,78.39,,38.06,20.26,19.47,14.26,106.02,189.23,70.4,69.36,10.87,16.77,198.25,42.55,13.48,6.49,4
Spring_82,81.09,,60.11,,11.71,14.81,87.68,165.96,68.46,55.78,11.83,10.19,129.25,7.58,5.08,6.26,2
Spring_83,98.34,79.05,53.15,,15.18,14.67,99.53,,40.09,64.64,16.67,11.36,136.29,34.86,4.03,,1
Spring_84,121.33,71.68,39.06,,11.66,15.69,120.95,171.84,56.52,68.93,19.94,16.65,495.16,16.02,13.89,7.55,5
Spring_85,120.38,,53.66,21.96,14.7,19.59,80.97,140.3,40.55,51.42,12.94,16.1,310.6,36.42,15.09,,2
Spring_86,85.23,80.01,58.54,22.97,17.14,16.28,99.21,165.04,53.49,69.6,14.81,22.53,313.27,62.77,8.56,6.26,2
Spring_87,124.43,85.97,53.51,,15.43,11.57,114.57,161.96,72.96,53.55,18.91,13.23,192.0,52.6,15.77,6.18,2
Spring_88,81.37,,53.07,21.09,12.21,18.41,79.07,168.92,63.54,59.28,12.13,18.33,152.33,22.87,9.25,,one
Spring_89,91.98,74.04,32.29,22.05,17.63,16.93,106.5,,60.9,55.91,13.97,17.83,409.09,11.94,7.96,8.97,3
Spring_90,95.07,89.62,32.61,25.73,16.23,14.24,93.16,128.77,75.26,54.67,14.01,17.14,100.06,74.34,4.35,6.34,1
Spring_91,88.71,93.64,27.78,,10.6,19.56,112.1,174.21,65.56,68.02,11.34,12.17,368.58,53.81,19.03,6.64,3
Spring_92,108.35,76.48,62.26,23.34,17.93,18.22,117.44,194.75,71.96,60.52,18.98,15.87,383.92,18.38,10.97,7.56,4
Spring_93,82.38,,43.75,20.26,15.01,16.07,116.52,196.08,50.5,55.42,13.59,9.88,134.51,33.7,5.7,5.35,2
Spring_94,100.74,70.98,39.4,24.73,12.37,15.69,94.11,,56.38,72.38,10.21,17.72,400.11,44.63,17.81,,3
Spring_95,101.57,88.48,36.55,,18.54,17.74,80.85,186.11,68.37,50.82,19.18,14.2,286.94,28.59,19.65,8.15,5
Spring_96,96.97,86.98,60.15,,15.78,13.51,101.75,145.51,66.51,53.71,15.18,9.23,247.23,60.53,15.47,7.86,3
Spring_97,111.82,98.6,63.63,,12.34,15.74,87.55,134.06,72.59,63.33,19.2,12.48,433.78,61.77,5.84,8.2,5
Spring_98,100.62,70.11,47.37,20.11,16.58,11.28,94.99,166.89,79.84,53.9,19.36,16.73,317.88,29.07,9.48,,2
Spring_99,94.36,97.49,57.25,27.37,14.21,12.69,103.23,125.85,67.31,54.95,10.13,17.99,371.63,2.33,13.9,8.87,1
Spring_100,100.17,,48.13,27.73,15.99,18.8,124.69,163.06,78.57,72.01,10.35,23.39,396.96,0.34,17.22,5.46,5
Spring_101,103.32,81.64,41.4,25.83,11.25,10.36,92.86,,78.22,73.43,13.61,11.3,439.14,74.85,3.42,,2
Spring_102,82.29,85.56,32.17,29.72,15.48,15.9,76.94,163.86,45.58,53.26,15.92,16.61,128.18,74.51,6.07,6.63,5
Spring_103,79.86,72.18,46.57,23.67,12.26,14.23,124.12,129.39,56.75,63.97,13.27,15.26,253.11,29.12,11.99,8.65,2
Spring_104,93.66,87.14,31.03,20.26,15.23,12.01,77.95,185.67,74.32,63.39,18.74,19.47,263.72,67.58,19.33,5.51,5
Spring_105,119.57,96.5,66.63,25.9,13.65,13.9,115.42,174.61,58.14,76.57,14.12,13.65,497.61,45.16,13.12,5.35,5
Spring_106,86.61,72.9,59.74,20.18,11.1,11.23,97.71,125.64,41.31,54.91,13.84,16.23,289.24,33.37,9.78,7.95,5
Spring_107,90.67,87.84,25.13,26.2,15.53,13.35,93.37,179.67,75.0,74.88,12.37,21.3,227.74,32.58,15.05,5.68,2
Spring_108,87.21,97.44,67.4,24.36,16.78,18.49,114.35,137.76,54.74,67.92,14.51,14.37,124.75,6.18,14.1,8.8,3
Spring_109,91.42,85.04,26.43,21.67,15.25,12.9,101.19,133.33,60.57,74.45,18.18,16.2,263.8,65.96,12.05,5.88,4
Spring_110,101.65,96.75,64.3,25.0,16.78,14.16,123.35,137.29,43.3,58.64,17.65,12.42,186.92,38.3,13.81,6.8,three
Spring_111,87.3,82.73,42.34,29.32,17.0,16.75,97.47,185.88,59.89,65.22,12.35,22.71,355.73,24.52,18.76,7.23,3
Spring_112,99.13,87.27,57.28,22.09,10.9,11.84,88.42,188.58,75.32,78.54,18.95,23.88,407.2,1.33,3.18,6.11,3
Spring_113,114.05,94.2,34.14,25.61,18.7,12.74,118.01,198.3,43.89,66.36,10.95,20.37,140.97,51.89,9.43,5.5,5
Spring_114,77.13,79.19,47.1,26.22,12.49,10.65,90.52,156.89,66.75,75.0,17.38,22.51,482.31,23.76,16.34,6.74,1
Spring_115,88.93,98.79,28.89,28.24,17.05,10.16,99.3,196.24,55.37,67.29,16.59,20.8,357.85,22.04,4.21,5.3,1
Spring_116,90.14,82.32,34.85,20.0,12.53,17.49,78.58,140.7,42.87,76.6,14.09,11.73,374.88,17.36,2.15,7.64,4
Spring_117,84.79,92.63,50.25,26.87,13.46,13.24,94.29,138.73,64.14,68.91,10.33,13.87,244.35,22.59,12.19,8.5,4
Spring_118,111.63,94.29,64.99,22.7,14.19,12.97,110.19,182.2,58.88,64.14,15.39,20.66,380.92,19.85,6.42,6.5,5
Spring_119,95.52,72.96,56.15,26.54,12.76,14.22,107.95,159.41,53.49,55.45,17.98,10.01,417.86,66.92,15.09,5.48,3
Spring_120,117.87,71.58,69.64,22.74,12.82,17.11,77.13,155.18,40.93,61.81,10.97,14.77,447.95,12.05,10.96,8.67,4
Spring_121,121.77,78.88,54.5,25.56,10.03,17.32,122.98,180.13,63.86,65.36,19.6,23.0,189.43,15.6,18.87,7.04,three
Spring_122,78.43,85.4,65.33,21.62,14.62,12.76,80.66,134.63,48.25,69.21,17.15,17.06,352.14,44.36,7.6,7.46,2
Spring_123,123.95,73.09,64.66,24.61,12.29,12.37,75.46,132.38,68.72,66.19,11.33,20.66,321.56,6.73,7.84,8.6,1
Spring_124,105.69,84.39,42.92,25.28,14.58,17.56,82.32,126.34,49.09,57.03,15.27,9.59,218.18,27.22,9.92,8.22,5
Spring_125,119.93,82.71,37.74,20.58,18.96,14.29,83.82,178.16,44.78,68.41,10.55,21.61,351.68,9.89,18.75,8.16,1
Spring_126,112.0,92.56,29.02,25.15,17.5,12.77,116.02,171.03,75.13,71.66,12.65,9.44,317.81,57.53,13.48,7.73,4
Spring_127,123.36,74.02,55.37,29.98,10.19,10.73,123.51,142.05,49.98,61.6,17.07,8.05,176.2,5.07,10.68,6.58,4
Spring_128,77.25,71.66,46.3,27.24,11.02,10.5,123.35,126.78,69.05,75.3,16.82,13.71,202.15,18.28,14.06,7.94,4
Spring_129,100.82,83.29,54.55,27.33,18.02,12.63,111.14,172.17,74.2,65.44,18.29,23.32,216.17,31.27,2.81,7.27,4
Spring_130,102.96,81.73,68.71,29.13,11.61,13.28,99.8,161.79,45.02,76.72,17.84,20.61,468.62,54.33,7.83,7.44,3
Spring_131,97.96,85.02,50.42,20.45,11.28,11.56,107.17,156.08,55.02,63.21,13.6,9.99,251.46,17.27,17.62,7.7,5
Spring_132,81.68,94.32,68.48,25.63,13.51,18.33,93.04,186.45,69.13,55.86,10.23,20.07,191.29,71.61,8.79,5.45,1
Spring_133,103.4,85.64,40.04,26.18,13.18,15.1,93.92,128.68,67.56,75.27,19.43,23.99,419.37,67.1,19.09,6.34,3
Spring_134,88.97,81.81,55.79,29.9,18.62,12.25,110.84,161.41,46.26,64.52,19.92,8.31,407.67,11.2,11.97,7.13,1
Spring_135,116.26,75.5,30.52,24.12,11.6,13.49,93.24,185.36,56.16,67.85,19.08,20.72,365.44,21.06,12.84,7.16,4
Spring_136,110.05,98.57,64.5,25.31,16.51,11.79,124.43,167.56,73.5,75.79,15.92,13.51,481.7,15.94,12.1,7.63,2
Spring_137,117.72,79.82,60.23,20.75,10.61,16.96,94.82,165.41,43.71,64.21,10.55,20.78,438.73,30.78,3.53,7.51,1
Spring_138,80.09,77.46,55.81,23.92,18.01,18.82,102.15,166.58,54.62,50.51,14.42,21.99,153.07,39.69,15.4,6.31,2
Spring_139,96.57,78.4,67.35,24.91,19.59,19.66,105.92,173.63,67.84,70.88,19.02,21.66,231.72,19.58,5.95,8.13,2
Spring_140,86.29,73.12,28.66,22.5,17.62,19.49,80.41,142.84,54.66,60.7,14.44,13.38,220.14,19.37,7.29,7.87,5
Spring_141,76.15,70.8,41.79,21.1,12.67,15.8,75.03,153.33,48.56,72.2,18.97,15.12,157.53,23.24,6.4,7.55,3
Spring_142,113.79,73.12,54.2,24.87,13.7,15.32,115.68,158.47,52.4,55.01,14.75,14.38,482.94,55.26,10.16,7.51,2
Spring_143,110.79,82.29,66.07,21.81,13.99,16.4,119.06,170.65,74.17,66.56,17.14,17.2,474.78,41.78,10.76,5.81,2
Spring_144,82.61,86.44,28.85,26.07,10.09,18.05,106.51,169.25,66.76,53.55,13.06,21.37,243.48,28.78,15.19,8.79,4
Spring_145,94.44,99.21,46.62,27.36,18.71,12.41,115.68,145.62,60.47,58.28,17.13,13.39,104.35,42.19,18.86,5.29,1
Spring_146,113.84,77.37,57.57,26.6,16.74,14.08,113.17,131.4,62.48,72.73,16.97,9.57,365.52,17.05,15.44,6.79,1
Spring_147,97.17,84.38,58.73,29.54,10.48,18.52,98.17,131.13,76.86,60.03,15.11,10.92,253.7,53.05,2.04,8.17,4
Spring_148,100.57,79.58,59.65,24.65,18.49,15.01,85.66,192.47,43.01,65.27,12.55,9.02,126.81,67.49,4.46,6.04,5
Spring_149,89.61,88.63,62.62,28.43,15.43,19.95,100.29,196.77,78.83,68.89,13.36,22.5,323.24,12.84,8.33,6.07,4
Spring_150,78.42,77.41,25.33,23.8,11.03,13.07,114.63,141.64,67.87,68.53,15.21,12.5,298.2,2.83,8.51,6.27,2
Spring_151,75.54,75.77,50.08,21.2,12.41,18.0,117.58,138.44,67.18,71.51,19.59,18.13,358.32,63.98,6.1,5.67,1
Spring_152,87.97,91.63,38.07,24.3,19.3,13.54,89.47,136.7,75.95,78.03,14.32,14.19,448.33,71.19,12.05,6.49,2
Spring_153,87.9,83.97,49.36,29.51,16.78,18.75,108.82,150.85,49.74,63.66,16.55,11.61,462.79,60.83,19.72,6.12,3
Spring_154,99.13,90.53,52.49,24.6,17.65,19.27,82.63,128.71,73.4,52.99,11.27,15.31,336.48,37.17,18.89,6.77,3
Spring_155,79.11,99.18,64.62,27.36,11.52,14.55,99.75,179.7,72.83,54.81,16.26,15.6,453.55,31.92,4.19,8.61,1
Spring_156,78.07,75.41,27.95,27.31,17.15,16.46,104.75,169.65,71.38,51.07,10.18,20.94,481.11,24.15,12.09,5.01,3
Spring_157,117.4,99.35,44.5,22.27,16.54,17.39,75.54,150.63,79.01,64.25,14.4,14.46,281.16,60.05,18.56,8.78,two
Spring_158,118.95,95.53,58.24,24.69,11.58,18.05,86.68,196.65,76.71,56.69,12.39,15.09,119.88,75.0,15.81,7.72,4
Spring_159,85.18,74.94,65.25,29.59,12.49,17.46,96.52,140.87,67.85,70.65,17.61,13.19,327.49,1.74,3.52,7.16,5
Spring_160,110.21,92.99,50.37,29.49,11.2,13.88,108.72,159.02,49.31,50.67,19.68,17.45,110.27,3.01,12.08,6.86,2
Spring_161,95.95,84.45,33.77,24.07,17.93,11.2,124.86,198.49,79.05,51.93,12.05,17.75,456.43,1.53,8.13,8.48,three
Spring_162,80.39,79.13,58.48,23.16,16.43,10.74,114.99,155.73,56.84,72.31,18.8,20.92,174.39,41.66,10.82,8.22,5
Spring_163,78.07,91.44,44.42,26.77,10.75,13.71,76.47,147.91,61.13,55.66,16.41,23.17,429.67,9.74,15.87,6.96,4
Spring_164,82.01,72.04,30.84,29.51,10.86,10.68,122.27,137.82,45.64,63.57,17.12,17.57,395.7,0.08,7.16,8.66,3
Spring_165,76.72,86.2,53.9,24.62,16.15,18.06,120.28,169.03,41.27,72.33,14.63,17.75,385.36,64.62,5.71,7.98,3
Spring_166,89.89,96.94,27.43,29.98,19.9,11.42,77.57,145.98,69.56,52.24,10.46,19.63,221.84,55.54,18.8,5.21,3
Spring_167,105.92,87.0,64.99,26.1,13.39,10.55,113.55,158.49,42.64,78.54,18.32,8.16,283.18,33.39,4.42,8.28,three
Spring_168,101.54,76.45,25.81,22.67,18.08,14.69,90.94,129.87,73.76,59.12,17.78,20.12,151.56,37.78,10.93,6.35,four
Spring_169,82.58,96.04,62.87,25.93,13.33,16.31,123.76,158.89,59.94,66.37,17.93,14.16,334.24,34.01,4.91,6.06,1
Spring_170,87.43,72.4,26.81,22.58,11.5,14.09,101.83,157.14,52.09,62.43,16.09,12.37,456.51,11.68,2.15,8.08,3
Spring_171,78.47,98.34,55.57,23.72,18.86,16.52,78.99,143.45,78.41,72.44,18.07,19.7,233.28,71.77,4.34,8.14,3
Spring_172,102.24,89.42,40.07,26.65,19.2,18.84,99.31,164.21,60.45,79.87,18.25,9.79,498.26,1.49,18.69,8.81,3
Spring_173,116.84,90.69,65.09,28.57,12.75,13.34,79.17,182.4,61.12,63.39,16.3,14.5,416.71,15.61,12.51,5.7,5
Spring_174,102.23,72.63,31.92,26.37,14.07,10.17,121.64,199.27,51.18,59.92,17.94,12.67,368.34,34.92,3.1,5.73,3
Spring_175,78.44,91.28,38.8,29.96,12.4,15.62,79.08,151.13,71.51,54.09,10.6,11.77,383.68,31.59,11.38,7.95,1
Spring_176,124.6,77.88,42.4,24.94,16.41,16.66,84.45,179.23,71.62,67.32,14.23,11.24,221.09,38.61,12.98,7.83,3
Spring_177,111.32,76.09,43.13,22.73,19.23,17.7,105.62,175.08,40.71,57.05,19.09,13.85,418.35,39.09,16.9,7.3,4
Spring_178,100.44,71.38,61.16,21.42,13.46,13.42,124.99,137.49,50.47,66.93,13.76,19.61,136.24,11.46,3.12,5.67,5
Spring_179,114.67,90.45,49.59,23.63,19.0,14.63,92.8,135.94,71.25,50.12,16.18,10.25,378.97,39.27,14.51,5.26,1
Spring_180,93.36,76.98,54.04,26.14,19.68,18.25,111.14,125.61,75.84,68.67,10.98,23.2,252.06,39.27,8.82,6.78,5
Spring_181,101.28,70.84,63.58,24.76,12.04,17.63,121.32,156.24,41.14,54.75,13.45,17.67,186.52,0.21,18.05,8.61,4
Spring_182,100.94,89.84,63.77,28.92,14.67,18.9,108.48,159.16,41.16,65.13,12.87,13.44,242.67,36.42,17.69,5.64,3
Spring_183,102.25,84.15,58.73,24.13,14.67,10.41,87.37,169.47,45.57,59.75,19.47,19.16,245.57,22.35,4.8,6.26,2
Spring_184,99.69,86.82,55.0,20.31,15.82,16.79,76.27,125.92,66.27,53.88,18.93,14.8,492.64,53.55,18.99,7.31,5
Spring_185,90.27,96.56,43.31,28.4,11.87,19.06,114.16,185.52,45.97,66.45,18.22,15.69,129.68,5.3,6.61,7.45,3
Spring_186,124.75,97.22,32.94,21.96,16.1,13.18,111.44,150.86,45.58,76.73,16.13,19.15,110.3,23.96,4.35,6.06,3
Spring_187,108.7,98.5,67.55,28.73,10.33,14.26,111.67,171.29,62.38,63.91,17.15,19.26,369.4,33.07,3.84,7.39,1
Spring_188,103.43,93.95,55.79,25.93,11.99,10.52,111.37,163.67,69.8,71.15,17.13,10.75,178.58,65.85,14.28,8.85,1
Spring_189,123.89,78.3,42.25,29.39,15.98,19.95,105.9,177.22,42.75,70.62,12.69,17.63,212.03,15.7,19.49,7.22,1
Spring_190,79.3,75.02,32.4,29.71,15.75,13.02,90.46,160.31,43.22,78.04,12.16,18.43,214.19,1.26,16.28,6.04,5
Spring_191,124.36,81.15,60.2,23.19,13.85,14.63,97.36,183.02,50.65,75.45,19.62,9.91,380.93,36.35,14.59,8.41,5
Spring_192,100.75,80.52,35.93,27.12,18.57,17.35,88.3,165.79,46.37,56.49,11.23,9.09,482.65,50.78,12.47,8.22,1
Spring_193,115.73,94.16,34.3,22.88,14.19,10.77,84.46,135.77,78.83,52.38,18.16,19.97,138.68,22.72,14.01,8.68,1
Spring_194,108.88,93.21,50.25,25.47,18.63,14.56,86.04,148.24,58.27,58.82,17.41,16.37,471.07,67.55,6.21,5.24,1
Spring_195,80.63,75.42,50.23,24.83,19.35,16.11,78.69,155.17,51.05,76.52,13.84,11.31,193.03,30.96,4.45,8.3,3
Spring_196,78.8,77.3,64.35,29.49,18.84,15.87,108.0,192.28,73.99,54.78,15.19,18.96,491.22,9.33,14.84,7.13,4
Spring_197,110.62,78.79,40.39,23.64,15.57,14.96,98.2,125.88,47.96,74.55,10.52,13.89,227.97,2.2,10.62,6.82,4
